name,taxid,fasta
penaeus_japonicus,27405,files/01.fna
penaeus_chinensis,139456,files/02.fna
penaeus_indicus,29960,files/03.fna
penaeus_vannamei,6689,files/04.fna
penaeus_monodon,6687,files/05.fna
panulirus_ornatus,150431,files/06.fna
procambarus_clarkii,6728,files/07.fna
cherax_destructor,6723,files/08.fna
homarus_americanus,6706,files/09.fna
homarus_gammarus,6707,files/10.fna
paralithodes_platypus,273748,files/11.fna
chionoecetes_opilio,41210,files/12.fna
portunus_trituberculatus,210409,files/13.fna
eriocheir_sinensis,95602,files/14.fna
callinectes_sapidus,6763,files/15.fna
metacarcinus_magister,29965,files/16.fna

